age,PC1 5pt Smooth (lake),,,
88.64498237,0.08132,,,
88.70980704,0.09464,,,
88.77533452,0.1183,,,
88.89932324,0.1027,,,
88.96697577,0.15048,,,
89.03541025,0.13196,,,
89.10464718,0.19592,,,
89.13563345,0.24616,,,
89.17735055,0.26702,,,
89.24828585,0.3029,,,
89.29081149,0.36746,,,
89.32008583,0.34094,,,
89.46636177,0.33364,,,
89.47330807,0.43642,,,
89.54087872,0.47014,,,
89.61634231,0.4338,,,
89.84861779,0.50444,,,
89.92807283,0.56002,,,
89.93857875,0.44652,,,
90.00857696,0.39594,,,
90.08245714,0.39998,,,
92.23302158,0.37342,,,
92.345356,0.36742,,,
92.45925842,0.46024,,,
92.57474933,0.3761,,,
92.69184921,0.31494,,,
92.81057855,0.24286,,,
92.93095786,0.14616,,,
93.05223957,0.03354,,,
93.17596963,0.05852,,,
93.30141098,0.07276,,,
93.42858413,0.1669,,,
93.55750955,0.11596,,,
93.69149809,0.23516,,,
93.82403463,0.20814,,,
93.95838544,0.19646,,,
94.094571,0.09502,,,
94.2326118,0.26346,,,
94.33737222,0.31378,,,
94.4742634,0.4786,,,
94.60574585,0.60918,,,
94.73885722,0.6995,,,
94.87361342,0.64404,,,
95.02217485,0.64596,,,
95.14906899,0.60138,,,
95.28886654,0.60338,,,
95.43037257,0.50338,,,
95.58831591,0.44616,,,
95.73346505,0.35788,,,
95.89344888,0.33928,,,
96.03007011,0.32768,,,
96.17952271,0.44846,,,
96.33284042,0.49772,,,
96.5080587,0.42276,,,
96.66425662,0.30704,,,
96.82230993,0.16638,,,
96.99646811,0.03858,,,
97.14515354,-0.05118,,,
97.30888137,0.0974,,,
97.49721442,0.14854,,,
97.67999806,0.18966,,,
97.8371838,0.2255,,,
97.99605498,0.24064,,,
98.18513713,0.1137,,,
98.31770447,0.11024,,,
98.48048262,0.15414,,,
98.64619577,0.13672,,,
98.84463163,0.12858,,,
99.01417874,0.10688,,,
99.18423526,0.07134,,,
99.35477448,-0.00542,,,
99.53093895,-0.01578,,,
99.7076374,-0.0496,,,
99.91521299,-0.05578,,,
100.1065295,-0.05558,,,
100.2908712,-0.03662,,,
100.5047415,-0.0581,,,
100.7174003,-0.0531,,,
100.9848892,-0.07054,,,
101.2485364,0.10772,,,
101.5250582,0.23902,,,
101.8378816,0.23312,,,
102.0971988,0.2207,,,
103.9882667,0.19902,,,
104.3761823,-0.0105,,,
104.7770834,-0.1933,,,
105.1876052,-0.2056,,,
106.0320369,-0.21448,,,
106.4678166,-0.22984,,,
106.9108545,-0.22316,,,
107.3605588,-0.21626,,,
107.8130386,-0.21154,,,
108.2742634,-0.20532,,,
108.6562144,-0.16906,,,
112.4945068,-0.15724,,,
113.3984707,-0.16312,,,
113.8902956,-0.13708,,,
114.0699004,-0.13876,,,
114.8737521,-0.14256,,,
115.3606254,-0.14976,,,
115.9004935,-0.13784,,,
116.3147904,-0.12096,,,
116.7875234,-0.12364,,,
117.195843,-0.05572,,,
124.0976679,0.03926,,,
124.328262,0.13924,,,
124.5410846,0.20484,,,
124.7283424,0.31806,,,
125.0194414,0.33732,,,
125.2769862,0.27554,,,
125.5386689,0.27632,,,
125.7068786,0.26862,,,
126.0460841,0.26398,,,
126.2862105,0.26884,,,
126.5097992,0.30844,,,
126.7388665,0.31472,,,
126.8621446,0.28692,,,
126.9537888,0.28766,,,
127.0887687,0.33114,,,
127.1859781,0.41352,,,
127.3784588,0.44694,,,
127.4942285,0.47068,,,
127.5680312,0.5227,,,
127.768487,0.43178,,,
127.9645731,0.37152,,,
128.1554011,0.32728,,,
128.3074733,0.33708,,,
128.5261767,0.275,,,
128.7067126,0.3184,,,
128.8733088,0.28194,,,
129.0486061,0.28482,,,
129.1772157,0.26524,,,
129.2313631,0.22594,,,
129.3969583,0.16122,,,
129.4908609,0.19754,,,
129.5620414,0.21844,,,
129.735278,0.19008,,,
129.9021267,0.23112,,,
129.9073592,0.28744,,,
130.0681837,0.21972,,,
130.233743,0.23408,,,
130.3990991,0.25912,,,
130.5499672,0.19428,,,
130.7178425,0.14426,,,
130.9105429,0.16874,,,
131.2277989,0.0622,,,
131.4002132,0.00562,,,
131.5658143,0.01086,,,
131.7378012,0.09412,,,
131.7510404,0.05356,,,
131.912152,0.11454,,,
132.1073478,0.09884,,,
132.3131002,0.22552,,,
132.4911506,0.1304,,,
132.6845908,0.1334,,,
132.8599681,0.06106,,,
133.0585753,0.27244,,,
133.2573414,0.16844,,,
133.4616796,0.14736,,,
133.6629397,0.13208,,,
133.8576655,0.12658,,,
134.0898692,-0.0472,,,
134.2283543,-0.09248,,,
134.4136946,-0.08198,,,
134.5886262,-0.06742,,,
134.7971277,-0.05658,,,
134.9173462,-0.08872,,,
135.0715909,-0.0998,,,
135.2491407,-0.10736,,,
135.4169159,-0.11544,,,
135.5864996,-0.12932,,,
135.745693,-0.13804,,,
135.9127592,-0.1431,,,
136.0608724,-0.13518,,,
136.5719549,-0.12796,,,
136.6787042,-0.1202,,,
136.80483,-0.11042,,,
136.9314792,-0.08964,,,
137.0414481,-0.08704,,,
137.1638747,-0.08024,,,
137.2850875,-0.08692,,,
137.4059954,-0.08638,,,
137.5187735,-0.08592,,,
137.6236386,-0.08596,,,
137.7524348,-0.09488,,,
137.8689385,-0.08742,,,
137.9894289,-0.09414,,,
138.1038272,-0.0923,,,
138.2106467,-0.08768,,,
138.3280726,-0.08972,,,
138.4055263,-0.08844,,,
138.5027463,-0.0846,,,
138.5325867,-0.08852,,,
138.6289365,-0.10566,,,
138.7254405,-0.11622,,,
138.8205247,-0.13166,,,
138.9150104,-0.13898,,,
139.0096989,-0.13672,,,
139.0494382,-0.12484,,,
139.128622,-0.1106,,,
139.1371383,-0.1015,,,
139.2289898,-0.09484,,,
139.320343,-0.10324,,,
139.4028379,-0.1066,,,
139.4766078,-0.1028,,,
139.5667088,-0.10166,,,
139.6571399,-0.10042,,,
139.7359319,-0.09944,,,
139.8248699,-0.10336,,,
139.9134455,-0.10896,,,
140.0016792,-0.10912,,,
140.0895917,-0.11276,,,
140.1772033,-0.1085,,,
140.2652674,-0.10224,,,
140.3435681,-0.10382,,,
140.4304218,-0.10148,,,
140.517055,-0.09974,,,
140.6034882,-0.09968,,,
140.6897418,-0.10216,,,
140.7765594,-0.1004,,,
140.8625146,-0.05448,,,
140.9483521,-0.05446,,,
140.9815059,-0.05614,,,
140.9865498,-0.06138,,,
141.0664942,-0.06036,,,
141.1521342,-0.11054,,,
141.2370068,-0.0495,,,
141.3225707,-0.05434,,,
141.4023754,0.02054,,,
141.4929777,0.0217,,,
141.5728242,0.01448,,,
141.6577567,0.00664,,,
141.7434816,0.0364,,,
141.8285783,-0.0316,,,
141.9174003,-0.03052,,,
142.002747,0.00582,,,
142.0889718,-0.00872,,,
142.1681046,0.03204,,,
142.2546845,0.0954,,,
142.3407493,0.14934,,,
142.4277782,0.19156,,,
142.5143287,0.21816,,,
142.6040992,0.1937,,,
142.6919633,0.19998,,,
142.7949989,0.20094,,,
142.801686,0.17202,,,
142.9052196,0.17338,,,
143.0092548,0.16318,,,
143.1138243,0.11934,,,
143.2189609,0.07912,,,
143.3254602,0.10668,,,
143.4318336,0.09386,,,
143.5388725,0.14832,,,
