age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Age
521.9997807,-0.087725904,0.300710101,0.230400217,0.240876639,78.36065574,0.92041221,5.573770492,0.124278159,0.655737705,0.285976074,0.983606557,0.1869934,5.072565941,0.762572504,>85 ka
524.0494582,-0.169607637,0.169638201,0.218319157,0.237023605,75.17730496,0.891502931,7.092198582,0.148871653,0,0.148747214,1.418439716,0.227762806,2.658675482,0.217755394,>85 ka
525.6292059,-0.182317644,0.153190645,0.204756702,0.232738772,82.22222222,0.947174992,5.925925926,0.129711949,0,0.148747214,1.111111111,0.198453286,1.964839392,0.11326644,>85 ka
527.2799836,-0.139870389,0.212360965,0.186045984,0.226898743,73.75886525,0.876434505,7.092198582,0.148871653,0,0.148747214,2.836879433,0.389573363,2.668848781,0.219613803,>85 ka
529.8222726,-0.175146406,0.162336199,0.148305886,0.215374444,77.17391304,0.910404164,10.86956522,0.223260898,0.362318841,0.218149187,1.086956522,0.196250375,3.026649957,0.290477744,>85 ka
533.2662048,-0.232407972,0.098895111,0.094487688,0.199542327,69.28571429,0.819600883,10.71428571,0.2198384,1.428571429,0.498635098,1.071428571,0.194842079,3.726847226,0.452832013,>85 ka
536.8581995,-0.237787788,0.094030394,0.061199049,0.190110008,58.90909091,0.636448601,22.54545455,0.54158908,1.090909091,0.401734011,2.909090909,0.398698418,3.026649957,0.290477744,>85 ka
541.827617,-0.218561646,0.112257077,0.062551479,0.190487796,57.14285714,0.599802188,21.9047619,0.522701987,1.26984127,0.452717256,3.80952381,0.51554564,3.824375872,0.476822097,>85 ka
548.626539,-0.144110217,0.205911725,0.085977246,0.197104487,68.94197952,0.814642145,15.35836177,0.334172047,0.682593857,0.292650659,0.682593857,0.161605634,3.172743585,0.322203636,>85 ka
554.7736077,-0.187418867,0.146896927,0.055864479,0.188624343,57.51879699,0.607688627,22.55639098,0.541910786,1.503759398,0.520429408,1.503759398,0.236311902,3.761084245,0.461238569,>85 ka
561.1828571,-0.166939157,0.17323023,0.008495308,0.175748064,53.55805243,0.523003127,24.71910112,0.604724304,3.370786517,0.920484245,1.498127341,0.235742173,3.937537301,0.504757352,>85 ka
566.5646998,-0.028349963,0.417536068,0.042010163,0.184799507,60.50724638,0.668574167,18.84057971,0.432408361,0.724637681,0.303242695,2.536231884,0.352284051,3.380541789,0.36960443,>85 ka
570.3231885,0.010370423,0.498671088,0.121371411,0.207361598,57.62081784,0.609821353,29.36802974,0.729159112,0,0.148747214,5.576208178,0.732088327,1.072441381,0.03905098,>85 ka
576.3055194,0.169823013,0.799639261,0.178550972,0.224582775,60.94890511,0.677249641,14.59854015,0.313924778,0,0.148747214,2.554744526,0.35454375,3.034566125,0.292158855,>85 ka
581.3353195,0.161992056,0.787825733,0.086311638,0.197199933,58.48375451,0.627722894,14.07942238,0.300402287,1.444043321,0.503121652,1.444043321,0.230309866,2.49577866,0.189255557,>85 ka
583.3797094,0.157360186,0.780650647,0.078012099,0.194839255,33.88235294,0.155440201,36,0.864763514,1.882352941,0.627948008,2.823529412,0.387892862,6.291125427,0.929082435,>85 ka
586.9619002,0.161294147,0.786753487,0.138611859,0.212470043,26.25899281,0.076593768,47.12230216,0.972984926,2.158273381,0.700897845,3.956834532,0.534804378,4.442374406,0.627205561,>85 ka
589.2959677,0.153285354,0.774224731,0.134089806,0.211123067,43.88489209,0.319578773,28.41726619,0.705325982,2.158273381,0.700897845,6.115107914,0.787016329,2.848611724,0.253918319,>85 ka
589.9355298,0.153124371,0.773968697,0.126462759,0.208862587,32.80632411,0.141870966,33.99209486,0.829731695,1.976284585,0.653468039,3.557312253,0.482513129,4.3466757,0.604578382,>85 ka
580.8031693,0.163067745,0.789472202,0.094303251,0.199489303,26.80412371,0.080953323,44.32989691,0.957244004,1.374570447,0.482980882,2.405498282,0.336478536,5.117863796,0.771151728,>85 ka
575.6056982,0.156043026,0.778585095,0.184012535,0.226269076,29.390681,0.104216568,45.51971326,0.964679388,3.225806452,0.903704625,0.716845878,0.164375626,3.384921855,0.37062836,>85 ka
575.0943955,0.147277225,0.76455863,0.185303861,0.226668827,28.46441948,0.095384487,47.56554307,0.974970367,1.123595506,0.410949863,1.123595506,0.199597694,5.731175993,0.869140251,>85 ka
575.9807906,0.162787377,0.789043789,0.181624093,0.225530747,38.80597015,0.228028931,35.82089552,0.861855794,2.985074627,0.870333702,2.23880597,0.316740369,3.761084245,0.461238569,>85 ka
577.1416459,0.160151309,0.784990858,0.167007112,0.221042079,40.50179211,0.256865296,29.390681,0.729714974,2.150537634,0.698942552,1.433691756,0.229278173,4.261960113,0.584246745,>85 ka
579.9048126,0.164018304,0.790920884,0.111041313,0.204335832,31.22807018,0.123459514,35.78947368,0.861341304,2.105263158,0.687385312,3.859649123,0.522105134,3.538264181,0.407004259,>85 ka
581.8761389,0.160698558,0.785835948,0.080224284,0.195466792,28.35820896,0.094408067,27.23880597,0.674512674,0,0.148747214,6.71641791,0.839785435,3.756045234,0.460000111,>85 ka
584.5149451,0.156676839,0.779580417,0.093283877,0.199196394,51.90839695,0.487192737,17.9389313,0.406291454,1.908396947,0.635086,1.908396947,0.279160585,3.24378324,0.338132199,>85 ka
586.9104846,0.16106441,0.786399836,0.137977137,0.212280677,27.62645914,0.087880476,33.85214008,0.827090259,0,0.148747214,10.11673152,0.982579891,3.248356598,0.339168028,>85 ka
589.604319,0.152701746,0.773295756,0.130423014,0.21003453,32.1299639,0.13376478,34.65703971,0.841926065,0,0.148747214,7.942238267,0.918661639,3.741229418,0.456361062,>85 ka
592.2164086,0.154154583,0.775604352,0.116412621,0.205905836,46.18181818,0.365482828,17.81818182,0.402822636,1.454545455,0.506166881,8.727272727,0.950928534,4.094879353,0.543530802,>85 ka
594.8900882,0.129027032,0.733844341,0.147416938,0.215107153,47.56554307,0.394150824,16.85393258,0.375417577,0,0.148747214,3.370786517,0.45814799,2.863663491,0.256913043,>85 ka
597.8378042,0.147141792,0.76433814,0.20507935,0.232840205,48.4,0.411731924,12.8,0.268254134,3.2,0.900463128,3.2,0.43597367,4.900725516,0.728478735,>85 ka
600.3539627,0.154333301,0.775887415,0.246889634,0.246190165,57.37704918,0.604720053,6.967213115,0.146732302,2.459016393,0.772042041,3.278688525,0.446169631,4.183972376,0.565326873,>85 ka
602.626496,0.126632729,0.729669382,0.25854914,0.249984908,51.86721992,0.486298994,13.2780083,0.280060549,1.244813278,0.445518771,4.149377593,0.559847314,2.734832334,0.231886302,>85 ka
604.5963601,0.112935075,0.705173526,0.235034675,0.242363707,60.60606061,0.670523251,7.792207792,0.161237293,3.463203463,0.929962574,2.164502165,0.308103164,2.939869898,0.272352463,>85 ka
612.1575668,0.035994809,0.5526058,0.101908724,0.201682844,83.45588235,0.95402636,3.676470588,0.09774101,1.838235294,0.615756762,1.838235294,0.271468582,1.070319631,0.038940105,>85 ka
622.9011415,0.042800383,0.566809054,0.26139353,0.25091534,81.6254417,0.943581781,0,0.0585446,1.413427562,0.494243827,0,0.112748849,1.594205058,0.075104769,>85 ka
631.3992801,-0.20710997,0.124245779,0.229515004,0.240593164,82.87671233,0.950904365,1.712328767,0.074911781,1.712328767,0.580368496,0,0.112748849,1.761570142,0.090908904,>85 ka
636.4727545,0.037158953,0.55504068,0.300581496,0.263918466,76.13636364,0.900912396,6.818181818,0.14420845,1.136363636,0.4145635,1.515151515,0.237466623,2.869466651,0.258072538,>85 ka
