V1,V2
25.16935398,-22.61404032
10.15929186,-26.72925319
2.109688351,-22.74697902
20.78639854,-24.37384967
20.74635855,-23.70552248
21.66218793,-23.03510867
12.49840445,-26.86391919
-4.432705442,-25.43248095
19.76098831,-23.0986011
21.73589557,-21.80135621
7.655462231,-26.1033968
-7.13107832,-5.88866297
7.778837185,-13.02950576
8.830403029,-11.85110614
9.86808767,-12.5280201
4.604139416,-23.37081929
25.41884286,-24.10166331
3.324973721,-24.85672499
14.44773164,-23.13378392
7.838777652,-23.5696866
-14.85974037,-15.7992719
13.72885714,-24.61891007
5.822856068,-25.60177554
4.199092051,-26.13323434
-15.1651346,-15.61039193
-30.1230182,20.93779084
-25.68135341,16.40620076
-36.28015295,18.58371207
-35.76132185,17.61424307
-36.73822473,17.17530297
-36.41460304,16.35998115
-34.90231099,16.18657347
-27.1287547,11.1129195
-32.17771248,16.61978341
-29.01140848,12.0001412
-33.95419228,17.98042803
-32.82215432,16.37232238
-26.82734758,8.55770301
-18.39500538,3.930887043
-35.24170765,14.05067678
-32.60685127,11.98676215
-19.49398514,4.648495916
-26.03396871,8.613353347
-23.39197714,5.866403385
-25.17543745,10.08242281
20.31683938,-12.91977444
23.48885396,-20.32852371
6.48005427,-28.9442695
25.60054054,-22.89675654
10.3903348,-27.97170839
15.6434616,-21.74437214
17.57133169,-11.23119814
-10.43121497,1.309755595
-26.49753894,12.88491914
-30.76645603,14.36853461
-26.22957835,14.2681003
-24.89174075,11.58835749
-21.68620869,5.951571118
-24.72622203,8.203845647
-20.82363471,5.661521228
-23.76943139,12.42881283
-20.40521514,6.819294116
-19.44242527,6.426240882
-19.32179659,13.57356365
24.72014324,-9.228637844
19.50898242,-20.95401746
22.73446568,-19.25712936
-13.85279851,-17.39007743
4.335397165,-25.08190003
20.45305264,-19.76677725
5.128114834,-24.62702747
-3.68720735,-24.01427839
16.23035806,-22.44610647
-6.610890947,-22.73297571
12.32783649,-23.4836269
6.207082052,-24.30729058
15.29667456,-23.80550948
12.95043416,-24.55847376
17.53292872,-22.30979464
17.552236,-21.50178483
13.24764208,-23.42868777
7.600585874,-24.29757362
19.90052825,-18.63938725
-1.97389624,-23.71285336
6.361388301,-23.06242176
20.54950018,-17.82483598
19.38347334,-17.52388702
24.9559316,-9.490074094
24.61683803,-10.86498848
-31.88097839,13.71547859
18.14403919,-11.55962844
