V1,V2,V3
0.675617369,-30.76720449,14.08430289
4.58333711,-33.84910525,14.25767006
2.741521079,-32.898776,18.21753279
1.780467728,-34.19049687,18.70575686
0.603130122,-32.42465573,19.01044617
9.114941851,-36.67369335,12.67517451
2.092801545,-32.14533929,16.24077288
5.474319237,-35.22820709,13.24843354
3.202826596,-33.34756988,16.12634263
21.39089709,-40.42231371,5.875353191
16.76259272,-39.49474764,9.034559757
22.28843292,-40.86670922,5.584800549
14.48627211,-38.60405926,9.902399276
15.51217625,-38.49878722,8.902956755
8.454149932,-36.56815142,11.65013622
17.11292626,-38.02038968,9.825971968
13.86387438,-37.38391723,11.09325579
20.87377561,-39.78835934,7.332261284
16.36027439,-36.70051509,12.1396026
12.13939496,-33.60439371,14.74036063
17.28670196,-36.63704504,11.50747534
4.845509543,-25.4572087,17.21989036
8.413306262,-30.73585387,15.86655847
7.400757701,-32.93228449,14.95283313
6.221869426,-30.3797229,16.22818569
16.02974277,-34.82973631,13.04164723
8.872150262,-22.38890924,16.49136984
11.87893126,-24.86585221,15.6847032
11.23294238,-23.92781637,16.06081672
6.651215751,-21.54180249,17.15838494
7.45195566,-22.43503389,16.99985781
13.90067611,-32.60493948,14.33399881
13.15442739,-31.58260144,14.73917189
10.21473326,-22.80732333,15.82166704
5.267173519,-28.06183747,16.50661073
6.823229121,-29.04326,16.16090285
10.56925384,-32.04969903,14.69666965
10.66476821,-32.74928973,13.78738024
1.41272592,-31.56126136,13.11949848
2.080399119,-33.83762476,10.9145123
1.026278907,-34.6205496,10.31355347
7.96786971,-37.98515442,6.524544319
-3.659160326,-26.3333684,17.03538518
5.943368092,-37.48367101,8.761254537
4.873281882,-38.800718,8.391170326
7.331473661,-39.37091425,7.745991433
6.489447693,-39.8580395,6.836756399
10.16155337,-39.64368674,4.869255671
6.009995931,-38.55928665,6.117178162
1.349834773,-36.25003453,8.798439833
3.284738374,-36.82238867,7.412434599
2.065749196,-36.58135123,7.123555765
7.544150064,-39.52469172,4.252377783
6.240135009,-38.68824306,4.316664466
8.910565263,-39.5161546,3.470051435
2.481335881,-36.34626645,4.278088992
17.21789177,-38.35367172,-0.098459964
1.843347339,-35.64595763,3.732765775
-5.601960554,-6.636433482,-18.70444759
-0.479190292,-0.717819803,-19.64697569
-2.861202511,-4.211214194,-19.22853988
-1.649518793,-2.936145979,-20.13425467
-4.621926491,-7.960403726,-17.06349016
-5.925772635,-8.939149943,-16.04262177
2.793988584,3.499008497,-19.02976972
-4.536466566,-5.892611057,-18.51020011
7.635440552,10.85127313,-16.58187894
-6.315393502,-9.526288148,-17.38172421
-6.061855955,-11.39348105,-16.38464841
-4.966612619,-10.23864353,-16.90552723
3.660934077,5.659937713,-18.56517059
1.457695838,-0.022689723,-17.55356721
1.698935955,-1.533595504,-16.09512758
-2.777999895,-10.19383667,-15.28210059
2.768540781,-0.76373141,-15.47754487
3.397198681,0.955961886,-15.26789661
5.217649332,4.032470475,-14.4495991
10.69452347,10.76220579,-9.008032936
13.45104989,9.692230752,-4.358434388
2.404277025,-7.929405556,2.108748841
12.69301016,5.177719038,-1.254152107
9.262258039,0.906784712,2.67530444
14.54730036,10.05347185,-1.743470089
11.5238458,4.20036366,0.514612763
12.57391885,5.175931603,0.435266524
14.35538675,8.506716378,-0.296409632
11.08173646,4.605983441,-0.976582243
11.84768606,6.266160808,-2.232937155
13.11387314,11.19972922,-4.742027173
9.112800932,10.21124104,-9.986824269
-3.860143246,-5.219261031,-13.65805727
10.08676193,13.36519927,-13.54518377
-1.230699916,1.450339404,-18.17021654
-3.387148854,-1.351254947,-18.39550622
