V1,V2,V3
-15.99007545,9.698271374,20.26185644
-18.26521858,-0.629098559,5.902960186
-10.59149529,14.46820615,15.64165892
-5.845313646,14.9370852,-23.81150484
-5.492962222,14.21453425,-15.1187289
-11.24125117,0.015525163,-9.503104242
6.12991239,30.87190184,6.440750734
5.769162352,32.20988767,-4.817201391
-14.56989147,-7.057419927,-24.64382806
-8.006564061,19.96013968,21.92919994
-13.88250274,10.23813259,16.82969793
1.729000162,28.36577672,3.815263741
10.04422833,34.68469129,-5.223493714
-9.470832857,2.729225165,-28.64237066
11.86730855,35.70833641,-5.121784923
1.85036734,22.81141503,-25.3952931
9.232142459,31.86950426,-16.20233976
1.703922584,20.81504812,-28.88811943
3.086246513,21.56155251,-28.80374032
-11.00165858,-4.778879295,-33.39876787
11.98658536,33.46733133,-16.76804198
14.68310255,36.2116366,-9.352655138
4.152183494,22.76356809,-24.99724197
-0.533862947,13.88385285,-29.05015466
11.49559416,32.26967398,-14.76587983
10.41305431,33.84017358,-14.68637217
11.29312632,33.6745786,-12.60500183
5.93871078,26.54533667,-22.34880947
-8.034613057,5.700235773,-31.17779769
9.050632227,32.07769994,-13.96975417
10.11273948,33.74807954,-10.74267106
0.365277752,20.66699653,-25.80106169
-9.374303673,1.819739023,-11.98956579
-4.508886864,12.78610435,-14.06635112
-4.023215186,14.00412647,-11.906737
-2.36779457,15.9132965,-12.24946621
-1.01775369,17.36838739,-26.01348864
15.68883714,37.87758161,-11.1965776
-5.471852147,16.12837185,-25.74776857
1.703647044,27.77490884,-16.81732928
-3.979209093,20.89006079,-22.2979455
-15.27758608,-7.120886681,-28.41524514
1.242528753,27.87176787,-19.68453361
-3.953726225,20.01624499,-25.83710131
-4.071254784,17.64346034,-27.45107547
-15.21036666,-8.432208123,-28.43074771
-7.617304355,20.10557591,20.13801065
-12.04122247,12.9269702,16.22143663
-11.46454717,21.02374232,30.25489638
-13.61142207,20.32191635,30.32544757
-11.93915905,18.74424531,31.15689842
-13.78799516,18.65807544,31.95905969
-13.99300535,17.49218517,29.47205539
-18.36152398,7.162866467,20.63214735
-12.27776889,15.94757653,26.11945623
-17.3766711,8.796891917,23.27227862
-11.72430451,18.82800799,27.69449914
-13.81510395,16.80178519,25.62683773
-20.68387045,3.617914112,21.15659556
-20.41193884,-5.151334391,9.679361892
-15.53849436,15.07735443,31.34997132
-16.40554448,10.12594537,28.71864138
-20.25741727,-3.690168248,11.56867874
-19.12757072,2.610105557,20.27882903
-21.28255123,-1.723158125,16.16725678
-18.78086502,4.87186466,18.02922529
2.609118964,28.08193968,1.533520253
11.01678145,34.53134803,-7.317558076
1.862484248,19.27852811,-30.65840375
15.21716007,37.49797326,-9.077554815
4.474221275,24.46981427,-26.5309791
4.791757805,27.53415073,-15.10378874
-0.460702212,24.93780483,-0.631470239
-14.23132642,-7.746385779,-1.386739912
-17.3538759,9.605613308,18.74427689
-15.31971007,12.82549492,24.54863591
-15.42438669,10.92658452,17.74254226
-18.05734244,6.687697406,16.48165695
-20.81984533,-1.295864886,13.50050449
-20.89561771,2.999767556,17.98095415
-21.53034499,-1.236885221,11.82191727
-16.95080787,6.963258317,14.40473661
-20.03310647,0.488195247,11.20197331
-20.41124501,0.139252245,9.175417087
-11.84605607,10.71838606,6.780167151
5.612978025,30.40277388,10.40597512
6.989657159,31.73374833,-11.21999348
8.751783653,34.40638071,-6.541915512
-12.99506159,-4.476704776,-29.05679347
-3.504547096,16.98241431,-25.39433052
6.964242064,32.28029283,-8.819076241
-4.737744742,18.29435235,-24.071037
-8.65078786,5.436280341,-28.09169867
4.08846657,29.2930369,-15.24882043
-9.998704517,0.126878712,-28.75293598
2.636835225,25.74234059,-19.13171362
-2.40150321,19.3415487,-24.27441826
3.424278174,28.69868064,-17.79909796
0.283129703,26.43187223,-20.08681401
3.99552836,30.98699366,-13.39194614
5.511191101,29.96281549,-13.31743237
0.735467951,25.82127097,-18.08758828
-2.319120185,21.61798365,-22.77383336
5.29153236,31.32108042,-7.630337487
-7.08267148,7.432542734,-26.50220698
-1.255742565,18.69802904,-22.51515411
6.811841109,30.50657353,-6.19370076
4.882137655,29.38479938,-6.751053917
6.135207359,31.57484268,10.08569303
6.995259302,30.74307937,7.948732255
-15.57992167,12.26359413,26.71839494
0.411245926,24.92645742,0.604632795
