charcoal age,MACROcharcoal (log(char)*rate),,,,
148.0927075,2.139055818,,,,
148.1424971,1.907056084,,,,
148.3098935,1.639038943,,,,
148.496611,1.656589179,,,,
148.6745231,1.356030892,,,,
148.8607747,1.918554779,,,,
149.0497175,2.294973952,,,,
149.2414012,1.701248965,,,,
149.3103602,2.222389616,,,,
149.9155684,1.689725997,,,,
150.0135419,1.796035927,,,,
150.2193403,1.476399281,,,,
150.4281735,1.669070839,,,,
150.6400914,1.84497211,,,,
150.855144,1.93656021,,,,
151.0733811,1.487073863,,,,
151.2948527,1.244801111,,,,
151.5905263,1.810682268,,,,
151.8196686,1.324698563,,,,
152.0522108,1.818948815,,,,
152.2882026,1.367219408,,,,
152.5276939,1.246968966,,,,
152.7921714,1.633720641,,,,
155.3595915,0.710207315,,,,
155.6442753,0.264231877,,,,
155.933099,0.841653986,,,,
156.2261125,0.646331892,,,,
156.5233658,0.800250464,,,,
156.8249087,0.6657164,,,,
156.9773044,1.136266115,,,,
157.2659921,0.804110859,,,,
157.5782001,0.778230196,,,,
157.8948693,0.779985447,,,,
158.3376655,0.890542781,,,,
158.66513,0.926444253,,,,
158.8513601,0.847597465,,,,
159.1860804,0.88321249,,,,
160.0414443,0.750222026,,,,
160.3535491,0.747488821,,,,
160.6735244,0.970366812,,,,
161.012933,1.385275083,,,,
161.2428749,0.876580522,,,,
161.5832988,0.743730489,,,,
162.0959622,0.826985679,,,,
162.4536718,0.832745923,,,,
162.818048,0.683007195,,,,
163.1888962,0.856074781,,,,
163.566022,0.730858868,,,,
164.1003167,0.845916214,,,,
164.4916585,0.803220053,,,,
164.8886187,0.624802249,,,,
165.2910027,0.41524168,,,,
165.5882592,1.084195237,,,,
165.9233515,0.497313953,,,,
166.3386674,0.491268511,,,,
167.1833076,0.408855444,,,,
167.6122429,0.354916562,,,,
168.082373,0.547938552,,,,
168.1101746,0.52327327,,,,
168.5477899,0.50833905,,,,
168.9859955,0.523232293,,,,
169.4308579,0.492968377,,,,
169.8790659,0.458118801,,,,
170.3304248,0.491695638,,,,
170.7847403,0.490522182,,,,
171.2353161,0.162284492,,,,
171.6491818,0.484363686,,,,
172.1109406,0.107124427,,,,
172.5749002,0.364612972,,,,
173.0408661,0.355864233,,,,
173.5053204,0.390737458,,,,
173.9747047,0.380224393,,,,
174.4622324,0.412661394,,,,
174.9041454,0.454099873,,,,
175.3771925,0.451129195,,,,
175.851086,0.524585415,,,,
176.3256315,0.444001261,,,,
176.8006345,0.389046336,,,,
177.2725293,0.435389061,,,,
177.7478641,0.415489111,,,,
177.9265143,0.47807902,,,,
177.9905525,0.311909026,,,,
178.4757282,0.310083571,,,,
178.8696186,0.418142016,,,,
179.6460135,0.482354021,,,,
180.0953346,0.73669172,,,,
180.6071551,0.477887072,,,,
181.1207768,0.366264742,,,,
181.6325965,0.517491106,,,,
181.7254412,0.52060321,,,,
182.2348047,0.530825631,,,,
182.8041908,0.340857788,,,,
183.1481707,0.42458552,,,,
183.5559593,0.420870114,,,,
184.0556069,0.314444659,,,,
184.5487712,0.440277994,,,,
185.0416468,0.27521239,,,,
