"","hunting","gathering","fishing","MAT","MATseas","TAP","TAPseas","lon","lat"
"Fish_Lake-Paiute",0.300014537353871,0.500014537353871,0.200014537353871,-0.242251547468855,0.239058822200143,-0.931456374352149,-1.27710676950946,-118.14,37.69
"No.Paiute-Honey_Lake",0.500078272153431,0.400078272153431,0.100078272153431,-0.151877084398599,0.161307451706202,-0.628623827709722,0.241681033180133,-120.44,40.27
"Hukundika_Shoshone",0.35008063949388,0.45008063949388,0.20008063949388,-0.178989423319675,0.705318638229306,-0.631126576029081,-1.27710676950946,-112.22,41.55
"Gosiute_(Deep_Creek)",0.400049395837843,0.500049395837843,0.100049395837843,-0.368775795767213,0.432071010295327,-0.807570332543884,-1.35119397939675,-114,39.88
"Spring_Valley-Shoshoni",0.550127158477193,0.450127158477193,0.000127158477192771,-0.215139208547778,0.449211088774822,-0.862630795569779,-1.35119397939675,-114.48,39.19
"White_Knife-Shoshone",0.450023365070596,0.400023365070596,0.150023365070596,-0.160914530705624,0.389841831432803,-0.891412401242407,-1.05484513984756,-117.31,41
"Shoshoni-Railroad_Valley",0.450044330042425,0.550044330042425,0.0000443300424248455,-0.0163153897932144,0.408969165388181,-0.902674768679522,-1.68458642388959,-115.78,38.33
"Reese_River",0.40008382606444,0.45008382606444,0.15008382606444,-0.269363886389932,0.295944010197308,-0.867636292208497,-1.3882375843404,-117.32,39.25
"Mono-North_Fork",0.450057725249995,0.400057725249995,0.150057725249995,-0.45915025883747,-0.231175504780787,-0.0992925581653156,0.760291502391212,-119.07,37
"Grouse_Creek",0.450031360372071,0.400031360372071,0.150031360372071,-0.341663456846137,0.560497395424297,-0.827592319098755,-1.3141503744531,-113.94,41.59
"South_Ute_(Wimonantci)",0.550079037511974,0.350079037511974,0.100079037511974,-0.287438779003983,0.555280849800103,-0.70120352897113,-1.09188874479121,-109,37.67
"No._Paiute-Bear_Creek_Or",0.500144279886836,0.450144279886836,0.0501442798868361,-0.468187705144495,0.0495243311877557,-0.776285978551897,-0.980757929960268,-120.49,43.94
"Shoshoni-Antelope_Valley",0.400159665417943,0.500159665417943,0.100159665417943,-0.413963027302342,0.426109243867676,-0.788799720148692,-1.49936839917135,-114.24,40.19
"Washo",0.370006713055014,0.480006713055014,0.150006713055014,-0.197064315933727,0.102683415167639,-0.756263991997026,-0.0546678063690553,-119.82,39.08
"Kidutokado-Suprise_Val",0.300078401194689,0.500078401194688,0.200078401194689,-0.197064315933727,0.228128917082784,-0.739996127921193,-0.610321880523783,-120.06,41.5
"Wind_River-Shoshone",0.650053044049969,0.200053044049969,0.150053044049969,-0.504337490372598,0.603968608959248,-0.83885468653587,0.0935066134055387,-108.86,43.19
"Wadadika-Ruby_Valley",0.370108420927873,0.550108420927873,0.0801084209278727,-0.332626010539111,0.407230316846783,-0.722476889685681,-1.20301955962216,-115.39,40.36
"Bohogue-Shoshone-East",0.550056003409595,0.300056003409595,0.150056003409595,-0.495300044065572,0.547580234831054,-0.711214522248566,-1.4623247942277,-112,43
"Uintah-(Ute)",0.350109862372534,0.400109862372534,0.250109862372534,-0.549524721907726,0.583102426462472,-0.780040101030936,-1.64754281894594,-110.22,40.47
"Wadadokado-Harney_Val",0.350114425665571,0.450114425665571,0.200114425665571,-0.377813242074239,0.262905887910745,-0.798810713426128,-0.906670720072971,-119.14,43.25
"Agaiduka_(Lemhi_River)",0.550132764888026,0.200132764888026,0.250132764888026,-0.432037919916393,0.598503656400569,-0.830095067418114,-0.721452695354728,-113.84,45.17
"Shoshoni-Little_Smoky",0.550100416343569,0.450100416343569,0.000100416343568689,-0.287438779003983,0.394561563188026,-0.811324455022922,-1.536412004115,-115.84,39.33
"Uncompahgre-(Ute)",0.500032617177672,0.350032617177672,0.150032617177672,-0.567599614521777,0.331466201828725,-0.487218547665945,-1.42528118928405,-107.8,38.14
"Lipan",0.350119514403363,0.600119514403363,0.0501195144033627,0.878391794602322,0.00307223443897917,-0.292004178755951,-0.721452695354728,-98.48,28.96
"Comanche",0.800015566015885,0.200015566015885,0.0000155660158848731,0.318070123566733,0.398536074139793,-0.516000153338572,0.0194194035182417,-100.5,36.83
"Chiricahua_Apache",0.40005443480874,0.60005443480874,0.0000544348087396334,0.336145016180785,0.022944789197814,-0.65615405922267,0.649160687560266,-101.76,32.52
"Kiowa-Apache",0.800082998734116,0.200082998734116,0.0000829987341157443,0.26384544572458,0.711528811591442,-0.357075635059282,-0.351016645918243,-99.1,36.9
"Kiowa",0.900089142152033,0.100089142152033,0.0000891421520334216,0.318070123566733,0.621108687438743,-0.265725321402682,-0.351016645918243,-98.9,35.83
"Cheyenne",0.80004497425456,0.15004497425456,0.0500449742545602,-0.115727299170496,0.658369727611559,-0.651148562583953,0.426899057898375,-102.35,38.83
"Arapaho",0.800064853233483,0.200064853233483,0.000064853233483204,-0.106689852863471,0.633777441097501,-0.627372453550043,0.500986267785672,-102.72,40.13
"Crow",0.800135041299489,0.200135041299489,0.000135041299489195,-0.260326440082906,0.656382472135675,-0.703706277290489,-0.202842226143649,-108.48,45.83
"Teton_Sioux",0.900051458522913,0.100051458522913,0.0000514585229127678,-0.296476225311009,1.05408197424686,-0.651148562583953,0.31576824306743,-102.27,44.5
